alias,canonico
GERENCIA ESTADAL DE CONTROL DE EMERGENCIAS INDUSTRIALES,Gerencia Estadal De Control De Emergencias Industriales
GERENCIA ESTADAL DE DESARROLLO SOCIAL SEDE CUMANA,Gerencia Estadal De Desarrollo Social Sede Cumana
GERENCIA ESTADAL DE DISTRIBUCION,Gerencia Estadal De Distribucion
GERENCIA ESTADAL DE DISTRIBUCION CARIACO,Gerencia Estadal De Distribucion Cariaco
GERENCIA ESTADAL DE DISTRIBUCION CARIACO-CASANAY,Gerencia Estadal De Distribucion Cariaco-Casanay
GERENCIA ESTADAL DE DISTRIBUCION CARUPANO,Gerencia Estadal De Distribucion Carupano
GERENCIA ESTADAL DE DISTRIBUCION CASANAY,Gerencia Estadal De Distribucion Casanay
GERENCIA ESTADAL DE DISTRIBUCION CUMANACOA,Gerencia Estadal De Distribucion Cumanacoa
GERENCIA ESTADAL DE DISTRIBUCION GUIRIA,Gerencia Estadal De Distribucion Guiria
GERENCIA ESTADAL DE DISTRIBUCION IRAPA,Gerencia Estadal De Distribucion Irapa
GERENCIA ESTADAL DE DISTRIBUCION MARIGUITAR,Gerencia Estadal De Distribucion Mariguitar
GERENCIA ESTADAL DE DISTRIBUCION PILAR,Gerencia Estadal De Distribucion Pilar
GERENCIA ESTADAL DE DISTRIBUCION RIO CARIBE,Gerencia Estadal De Distribucion Rio Caribe
GERENCIA ESTADAL DE DISTRIBUCION SANTA FE,Gerencia Estadal De Distribucion Santa Fe
GERENCIA ESTADAL DE DISTRIBUCION SEDE CUMANA,Gerencia Estadal De Distribucion Sede Cumana
GERENCIA ESTADAL DE DISTRIBUCION SUB. CANCHUCHU,Gerencia Estadal De Distribucion Sub. Canchuchu
GERENCIA ESTADAL DE DISTRIBUCION YAGUARAPARO,Gerencia Estadal De Distribucion Yaguaraparo
GERENCIA ESTADAL DE FINANZAS,Gerencia Estadal De Finanzas
GERENCIA ESTADAL DE FISCALIZACION,Gerencia Estadal De Fiscalizacion
GERENCIA ESTADAL DE FONDO AUTO ADMINISTRADO DE SALUD FASMEE,Gerencia Estadal De Fondo Auto Administrado De Salud Fasmee
GERENCIA ESTADAL DE FONDO AUTO ADMINISTRADO DE SALUD FASMEE SEDE CUMANA,Gerencia Estadal De Fondo Auto Administrado De Salud Fasmee Sede Cumana
GERENCIA ESTADAL DE FUENTES ALTERNAS Y USO RACIONAL DE LA ENERGIA,Gerencia Estadal De Fuentes Alternas Y Uso Racional De La Energia
GERENCIA ESTADAL DE FUENTES ALTERNAS Y USO RACIONAL DE LA ENERGIA SEDE CUMANA,Gerencia Estadal De Fuentes Alternas Y Uso Racional De La Energia Sede Cumana
GERENCIA ESTADAL DE FUENTES ALTERNAS Y USO RACIONAL EFICIENTE DE LA ENERGIA,Gerencia Estadal De Fuentes Alternas Y Uso Racional Eficiente De La Energia
GERENCIA ESTADAL DE GENERACION PLANTA TERMOELECTRICA,Gerencia Estadal De Generacion Planta Termoelectrica
GERENCIA ESTADAL DE GENERACION SEDE CUMANA,Gerencia Estadal De Generacion Sede Cumana
GERENCIA ESTADAL DE PREVENCION Y PROTECCION,Gerencia Estadal De Prevencion Y Proteccion
GERENCIA ESTADAL DE PREVENCION Y PROTECCION SEDE CUMANA,Gerencia Estadal De Prevencion Y Proteccion Sede Cumana
GERENCIA ESTADAL DE PREVENCIÓN Y PROTECCIÓN,Gerencia Estadal De Prevención Y Protección
GERENCIA ESTADAL DE PROCURA,Gerencia Estadal De Procura
GERENCIA ESTADAL DE PROCURA SEDE CUMANA,Gerencia Estadal De Procura Sede Cumana
GERENCIA ESTADAL DE PROGRAMACION Y CONTROL DE VEGETACION,Gerencia Estadal De Programacion Y Control De Vegetacion
GERENCIA ESTADAL DE PROGRAMACION Y CONTROL DE VEGETACION CARIACO-CASANAY,Gerencia Estadal De Programacion Y Control De Vegetacion Cariaco-Casanay
GERENCIA ESTADAL DE PROGRAMACION Y CONTROL DE VEGETACION SEDE CUMANA,Gerencia Estadal De Programacion Y Control De Vegetacion Sede Cumana
GERENCIA ESTADAL DE TALENTO HUMANO SEDE CUMANA,Gerencia Estadal De Talento Humano Sede Cumana
GERENCIA ESTADAL DE TELECOMUNICACIONES E INFORMATICA,Gerencia Estadal De Telecomunicaciones E Informatica
GERENCIA ESTADAL DE TELECOMUNICACIONES E INFORMATICA SEDE CUMANA,Gerencia Estadal De Telecomunicaciones E Informatica Sede Cumana
GERENCIA ESTADAL DE TRANSMISION,Gerencia Estadal De Transmision
GERENCIA ESTADAL DE TRANSMISION SEDE CUMANA,Gerencia Estadal De Transmision Sede Cumana
GERENCIA ESTADAL PROGRAMACION Y CONTROL DE LA VEGETACION,Gerencia Estadal Programacion Y Control De La Vegetacion
GERENCIA ESTADAL TERRITORIAL,Gerencia Estadal Territorial
GERENCIA ESTADAL TRANSMISION,Gerencia Estadal Transmision
GERENCIA ESTADAL U.R.E.E.,Gerencia Estadal U.R.E.E.
GERENCIA ESTADAL U.R.E.E. SEDE CUMANA,Gerencia Estadal U.R.E.E. Sede Cumana
GERENCIA FISCALIZACION,Gerencia Fiscalizacion
GERENCIA GENERAL DE CONTROL DE EMERGENCIA INDUSTRIALES BCEI,Gerencia General De Control De Emergencia Industriales Bcei
GERENCIA GENERAL DE PROGRAMACION Y CONTROL DE VEGETACION,Gerencia General De Programacion Y Control De Vegetacion
GERENCIA GESTION COMERCIAL,Gerencia Gestion Comercial
GERENCIA PREVENCION Y PROTECCION,Gerencia Prevencion Y Proteccion
GERENCIA PROCURA,Gerencia Procura
GERENCIA PROGRAMACION Y CONTROL DE LA VEGETACION,Gerencia Programacion Y Control De La Vegetacion
GERENCIA REGIONAL DE COMUNICACIONES Y RELACIONES PUBLICAS,Gerencia Regional De Comunicaciones Y Relaciones Publicas
GERENCIA REGIONAL DE PROYECTO MAYORES LOS LLANOS,Gerencia Regional De Proyecto Mayores Los Llanos
GERENCIA REGIONAL DE PROYECTOS ESPECIALES DEL SEN,Gerencia Regional De Proyectos Especiales Del Sen
GERENCIA REGIONAL DIV. GENERACION LOS LLANOS,Gerencia Regional Div. Generacion Los Llanos
GERENCIA REGIONAL GENERACION HIDROELECTRICA,Gerencia Regional Generacion Hidroelectrica
"GERENCIA REGIONAL LOS LLANOS/SUPERVISION ESTADAL DEL ESTADO APURE, DE COMUNICACIONES Y RELACIONES PUBLICAS","Gerencia Regional Los Llanos/Supervision Estadal Del Estado Apure, De Comunicaciones Y Relaciones Publicas"
GERENCIA TERRITORIAL,Gerencia Territorial
GERENCIA TERRITORIAL SEDE CUMANA,Gerencia Territorial Sede Cumana
GERENCIA TERRITOROAL APURE,Gerencia Territoroal Apure
GERENCIA TRANSMISION,Gerencia Transmision
GERENCIAESTADAL DE COMERCIALIZACION,Gerenciaestadal De Comercializacion
GERENCIAESTADAL DE COMERCIALIZACION CUMANA,Gerenciaestadal De Comercializacion Cumana
GERENCIAESTADAL DE COMERCIALIZACION SEDE CUMANA,Gerenciaestadal De Comercializacion Sede Cumana
GESTION DE ENERGIA,Gestion De Energia
GLOBAL SERVI J C.A,Global Servi J C.A
"GLOBAL SERVI J. CA; CON RIF J-50320749-3, UBICADA EN AV. NUEVA ESPARTA, SECTOR VENECIA, BARCELONA EDO. ANZOATEGUI","Global Servi J. Ca; Con Rif J-50320749-3, Ubicada En Av. Nueva Esparta, Sector Venecia, Barcelona Edo. Anzoategui"
GOBERNACION DEL ESTADO CARABOBO,Gobernacion Del Estado Carabobo
GUACARA - SAN JOAQUIN - MARIARA,Guacara - San Joaquin - Mariara
GUAJIRA,Guajira
GUANAPE,Guanape
GUARENAS,Guarenas
GUARICO,Guarico
GUASDUALITO,Guasdualito
GUASIPATI,Guasipati
GUAYANA A,Guayana A
GURI,Guri
Gabaldon,Gabaldon
Guri,Guri
HURTADO,Hurtado
INFRAESTRUCTURA,Infraestructura
INFRAESTRUCTURA LHF,Infraestructura Lhf
ISLA,Isla
JEFATURA DE LINEAS BARINITAS,Jefatura De Lineas Barinitas
JEFATURA DE LINEAS STA BARBARA,Jefatura De Lineas Sta Barbara
JIM TAIRE,Jim Taire
JIM TAIRE 30000,Jim Taire 30000
"JIM TIRES C.A, UBICADO EN PALO VERDE, EDO MIRANDA|","Jim Tires C.A, Ubicado En Palo Verde, Edo Miranda|"
JUNIN-DELICIAS,Junin-Delicias
JUSEPIN,Jusepin
LA FRIA,La Fria
LA GRITA,La Grita
LA GUAIRA,La Guaira
LA MARIPOSA,La Mariposa
LA PEDRERA,La Pedrera
LA TENDIDA,La Tendida
LA VELA,La Vela
LA VICTORIA,La Victoria
LA VILLA,La Villa
LA YAGUARA,La Yaguara
LAGUNILLAS,Lagunillas
LAS CLARITAS,Las Claritas
LAS MERCEDES,Las Mercedes
LHF,Lhf
LIBERTADOR,Libertador
LINEAS MIRIMIRE,Lineas Mirimire
LINEAS PUEBLO NUEVO,Lineas Pueblo Nuevo
LOS GUAYOS,Los Guayos
LOS LLANOS,Los Llanos
LOS TAQUES,Los Taques
LUEPA SANTA ELENA,Luepa Santa Elena
Lh,Lh
Lhf,Lhf
MACAGUA,Macagua
MACAGUA ALMACEN 8,Macagua Almacen 8
MACAGUA CAMPENON,Macagua Campenon
MACAGUA CASA N.º 22,Macagua Casa N.º 22
MACAGUA PATIO 400,Macagua Patio 400
MACHIQUES,Machiques
MALENA,Malena
MANTENIMIENTO ACHAGUAS,Mantenimiento Achaguas
MANTENIMIENTO BIRUACA,Mantenimiento Biruaca
MANTENIMIENTO BRUZUAL,Mantenimiento Bruzual
MANTENIMIENTO EL NULA,Mantenimiento El Nula
MANTENIMIENTO ELORZA,Mantenimiento Elorza
MANTENIMIENTO ESPECIALIZADO,Mantenimiento Especializado
MANTENIMIENTO ESPECIALIZADO SAN FERNANDO,Mantenimiento Especializado San Fernando
MANTENIMIENTO ESPECILIZADO,Mantenimiento Especilizado
MANTENIMIENTO GUASDUALITO,Mantenimiento Guasdualito
MANTENIMIENTO NULA,Mantenimiento Nula
MANTENIMIENTO PEDRO CAMEJO,Mantenimiento Pedro Camejo
MANTENIMIENTO SAN FERNANDO,Mantenimiento San Fernando
MARACAIBO,Maracaibo
MARACAIBO (CAUJARITO),Maracaibo (Caujarito)
MARACAIBO (COTA),Maracaibo (Cota)
MARACAIBO (PRL),Maracaibo (Prl)
MARIÑ0,Mariñ0
MARIÑO,Mariño
MARTINUS MOLDER,Martinus Molder
MENE GRANDE,Mene Grande
MERIDA Z0NA INDUSTRIAL L0S CUR0S,Merida Z0Na Industrial L0S Cur0S
MERIDA ZONA INDUSTRIAL LOS CUROS,Merida Zona Industrial Los Curos
MEZANNOTE,Mezannote
MIISTERIO,Miisterio
MINISTERIO,Ministerio
MINISTTERIO,Ministterio
MINSITERIO,Minsiterio
MIRANDA,Miranda
MODULO CASACOIMA CORPORACION TUCUPITA DELTA AMACURO,Modulo Casacoima Tucupita Delta Amacuro
MODULO DE OFICINA COMERCIAL TUCUPITA,Modulo De Oficina Comercial Tucupita
MOJAN,Mojan
MONAY,Monay
MONTANO (SANTA PAULA),Montano (Santa Paula)
MONTEZUMA,Montezuma
MONTEZUMA / SERLINE,Montezuma / Serline
MPPEE / SAN BERBARDINO,Mppee / San Berbardino
MTTO AVERIA,Mtto Averia
MTTO ESPECIALIZADO,Mtto Especializado
MULTISERVICIOS PALO NEGRO,Multiservicios Palo Negro
MUNICIPIO BOLIVAR,Municipio Bolivar
MUNICIPIO CARIPE,Municipio Caripe
MUNICIPIO RIVERO,Municipio Rivero
Ministerio,Ministerio
N/A,N/A
NIRGUA,Nirgua
NUEVA SEGOVIA,Nueva Segovia
Nueva Segovia,Nueva Segovia
OCUMARE,Ocumare
OCUMARE DE LA COSTA,Ocumare De La Costa
OFI.CANAGUA,Ofi.Canagua
OFIC BARRANCAS,Ofic Barrancas
OFIC. DTTO. EL VIGIA,Ofic. Dtto. El Vigia
OFICINA  DABAJURO,Oficina  Dabajuro
OFICINA  MENE MAUROA,Oficina  Mene Mauroa
OFICINA  SAN LUIS,Oficina  San Luis
OFICINA  URUMACO,Oficina  Urumaco
OFICINA BOCONOITO,Oficina Boconoito
OFICINA CANAGUA,Oficina Canagua
OFICINA COMERCIAL BOCONOITO,Oficina Comercial Boconoito
OFICINA COMERCIAL PUNTO FIJO,Oficina Comercial Punto Fijo
OFICINA COMERCIAL SAN RAFAEL DE ONOTO,Oficina Comercial San Rafael De Onoto
OFICINA COMERCIAL TUREN,Oficina Comercial Turen
OFICINA CORO,Oficina Coro
OFICINA MENE MAUROA,Oficina Mene Mauroa
OFICINA MIRIMIRE,Oficina Mirimire
OFICINA PUEBLO NUEVO,Oficina Pueblo Nuevo
OFICINA PUNTO FIJO,Oficina Punto Fijo
OFICINA SANTA CRUZ,Oficina Santa Cruz
OFICINA TUCACAS,Oficina Tucacas
OLIMPUS,Olimpus
OLYMPUS,Olympus
OPERATIVOCOMERCIAL,Operativocomercial
PALAVECINO,Palavecino
PALMARITO,Palmarito
PAMPAN,Pampan
PARQUE EOLICO,Parque Eolico
PARQUE EOLICO PARAGUANA,Parque Eolico Paraguana
PATIO 400,Patio 400
PATIO 4000,Patio 4000
PATIO 765 GURI,Patio 765 Guri
PATIO 765 KVA GURI,Patio 765 Kva Guri
PATIO CAMPENON MACAGUA,Patio Campenon Macagua
PATIO SERVICIOS GENERALES,Patio Servicios Generales
PIÑAL-PEDRERA,Piñal-Pedrera
PLANATA II-III,Planata Ii-Iii
PLANIF. Y OBRAS,Planif. Y Obras
PLANTA  CORO,Planta  Coro
PLANTA  PUNTO FIJO,Planta  Punto Fijo
PLANTA ALFREDO SALAZAR,Planta Alfredo Salazar
PLANTA CARUACHI,Planta Caruachi
PLANTA CENTRO,Planta Centro
PLANTA CORO - GENERACION,Planta Coro - Generacion
PLANTA DE RECUPERACION DE TRANSFORMADORES,Planta De Recuperacion De Transformadores
PLANTA DE RECUPERACIÓN DE TRANSFORMADORES,Planta De Recuperación De Transformadores
PLANTA DE RECUPERACIÓN DE TRANSFORMADORES LA MARIPOSA,Planta De Recuperación De Transformadores La Mariposa
PLANTA GUANAPA,Planta Guanapa
PLANTA GUANTA,Planta Guanta
PLANTA GURI,Planta Guri
PLANTA II,Planta Ii
PLANTA II DE LARA,Planta Ii De Lara
PLANTA II-III,Planta Ii-Iii
PLANTA INDIA URQUIA,Planta India Urquia
PLANTA JOSE MARIA ESPAÑA,Planta Jose Maria España
PLANTA JOSEFA CAMEJO,Planta Josefa Camejo
PLANTA LA MARIPOSA,Planta La Mariposa
PLANTA LA RAISA,Planta La Raisa
PLANTA MASPARRO,Planta Masparro
PLANTA PAEZ,Planta Paez
PLANTA PEÑA LARGA,Planta Peña Larga
PLANTA SIDOR,Planta Sidor
PLANTA TACHIRA,Planta Tachira
PLANTA TACHRA,Planta Tachra
PLANTA TERMO ZULIA,Planta Termo Zulia
PLANTA TERMOBARRANCAS,Planta Termobarrancas
PLANTA TERMOELECTRICA .P.I.U,Planta Termoelectrica .P.I.U
PLANTA TERMOELECTRICA BATALLA DE SANTA INES,Planta Termoelectrica Batalla De Santa Ines
PLANTA TERMOELECTRICA LA QUIZANDA,Planta Termoelectrica La Quizanda
PLATA II,Plata Ii
POBLACIÓN DE EL CALLAO,Población De El Callao
POR UBICAR,Por Ubicar
PREGONERO,Pregonero
PREGONERO-SAN AGATON,Pregonero-San Agaton
PROCURA,Procura
PROCURA ALMACEN LHF,Procura Almacen Lhf
PROYECTOS MAYORES,Proyectos Mayores
PTO LA CRUZ EDIF CHINCHON,Pto La Cruz Edif Chinchon
PUENTE REAL,Puente Real
PUERTO CABELLO,Puerto Cabello
PUERTO ORDAZ,Puerto Ordaz
PUNTA DE MATA,Punta De Mata
PUNTA DE MATA/ MUNICIPIO ZAMORA,Punta De Mata/ Municipio Zamora
Planta don Luis Zambrano km17 vigia estado merida,Planta Don Luis Zambrano Km17 Vigia Estado Merida
PÁMPAN,Pámpan
QUIBOR,Quibor
Quibor-Tocuyo,Quibor-Tocuyo
RED TRONCAL,Red Troncal
REIBUCADO LA GUAIRA,Reibucado La Guaira
REPARACION TALLER AUTOMOTRICES ST24.CA,Reparacion Taller Automotrices St24.Ca
REPARADO EN PRUEBAS. TALLERES DE LA ALCALDIA DE PAEZ. G-200027304. ACARIGUA ESTADO PORTUGUESA.,Reparado En Pruebas. Talleres De La Alcaldia De Paez. G-200027304. Acarigua Estado Portuguesa.
ROBADO,Robado
RUBIO,Rubio
RUBIO-DELICIAS,Rubio-Delicias
S.E MORROPO,S.E Morropo
S.I. CUMANA,S.I. Cumana
S/E ARENOSA 765,S. E. Arenosa 765
S/E BOLIVAR LA CANDELARIA,S. E. Bolivar La Candelaria
S/E CALLAO,S. E. Callao
S/E CANOA,S. E. Canoa
S/E CASANAY,S. E. Casanay
S/E CAÑAFISTOLA,S. E. Cañafistola
S/E EL B0SQUE EL VIGIA,S. E. El Bosque El Vigía
S/E EL BOSQUE,S. E. El Bosque
S/E EL BOSQUE EL VIGIA,S. E. El Bosque El Vigía
S/E EL CALLAO,S. E. El Callao
S/E EL FURRIAL,S. E. El Furrial
S/E EL INDIO,S. E. El Indio
S/E EL TIGRE,S. E. El Tigre
S/E GUAYANA A,S. E. Guayana A
S/E GUAYANA A Y B,S. E. Guayana A Y B
S/E GUAYANA A-B,S. E. Guayana A-B
S/E GUAYANA AB,S. E. Guayana Ab
S/E GUAYANA B,S. E. Guayana B
S/E HORQUETA,S. E. Horqueta
S/E LA CANDELARIA BOLIVAR,S. E. La Candelaria Bolivar
S/E LA CANOA,S. E. La Canoa
S/E LAS CLARITAS,S. E. Las Claritas
S/E MALENA,S. E. Malena
S/E SAN CRISTOBAL I OFICINA PRINCIPAL,S. E. San Cristobal I Oficina Principal
S/E SAN FELIPE,S. E. San Felipe
S/E SAN FELIPE 2,S. E. San Felipe 2
S/E SAN FELIX,S. E. San Felix
S/E SANTA ELENA DE UAIREN,S. E. Santa Elena De Uairen
S/E SANTA TERESA III,S. E. Santa Teresa Iii
S/E San Ignaci0,S. E. San Ignaci0
S/E UNARE,S. E. Unare
S/E. CANOA,S. E.. Canoa
S/E. TIGRE I,S. E.. Tigre I
S/MALENA,S/Malena
S/N,S/N
S/S,S/S
SABANA DE MENDOZA,Sabana De Mendoza
SABANA DE MENDOZA OJO,Sabana De Mendoza Ojo
SAG EDIFICIO ZONA 7,Sag Edificio Zona 7
SALA DE CONTROL SANTA ROSA,Sala De Control Santa Rosa
SAN ANTONIO,San Antonio
SAN ANTONIO-UREÑA,San Antonio-Ureña
SAN BERNARDINO,San Bernardino
SAN CARLOS,San Carlos
SAN CRISTOBAL,San Cristobal
SAN CRISTOBAL I,San Cristobal I
SAN CRISTOBAL III,San Cristobal Iii
SAN DIEGO - LOS GUAYOS,San Diego - Los Guayos
SAN FELIPE,San Felipe
SAN FERNANDO,San Fernando
SAN FERNANDO APURE,San Fernando Apure
SAN FERNANDO DE,San Fernando De
SAN FERNANDO DE APURE,San Fernando De Apure
SAN FRANCISCO,San Francisco
SAN FRANCISCO (TERMOZULIA),San Francisco (Termozulia)
SAN FRANCISCO DE LA PARAGUA,San Francisco De La Paragua
SAN GERONIMO,San Geronimo
SAN IGNACIO DE YURUANI,San Ignacio De Yuruani
SAN JUAN DE LOS MORROS,San Juan De Los Morros
SAN LORENZO,San Lorenzo
SAN RAFAEL DE ATABAPO.,San Rafael De Atabapo.
SAN SEBASTIAN,San Sebastian
SANTA ANA,Santa Ana
SANTA BARBARA,Santa Barbara
SANTA ELELNA DE ARENALES N0. 338,Santa Elelna De Arenales N0. 338
SANTA ELELNA DE ARENALES NO. 3-38,Santa Elelna De Arenales No. 3-38
SANTA ELENA,Santa Elena
SANTA ELENA DE ARENALES,Santa Elena De Arenales
SANTA ELENA DE UAIREN,Santa Elena De Uairen
SANTA RITA,Santa Rita
SANTA ROSA,Santa Rosa
SANTA TERESA,Santa Teresa
SANTA TERESA III,Santa Teresa Iii
SANTO DOMINGO,Santo Domingo
SARRIA,Sarria
SE ARICAGUA,Se Aricagua
SE ENCUENTRA EN CARACAS,Se Encuentra En Caracas
SE MORROPO,Se Morropo
SECT0R SANTA BARBARA AV. LAS AMERICAS,Sect0R Santa Barbara Av. Las Americas
SECTOR SANTA BARBARA AV LAS AMERICAS,Sector Santa Barbara Av Las Americas
SECTOR SANTA BARBARA AV. LAS AMERICAS,Sector Santa Barbara Av. Las Americas
SEDE,Sede
SEDE ANTIGUA ELEBOL CDAD BOLIVAR,Sede Antigua Elebol Cdad Bolivar
SEDE AVDA. LAS AMERICAS,Sede Avda. Las Americas
SEDE CARORA,Sede Carora
SEDE CIUDAD BOLIVAR,Sede Ciudad Bolivar
SEDE CUBANA,Sede Cubana
SEDE FUNSASEN EN MAMPOTE,Sede Funsasen En Mampote
SEDE OPERATIVA DE CORPORACION,Sede Operativa De La Corporacion
SEDE OPERATIVA DE CORPORACION LA PLANTA,Sede Operativa La Planta
SEDE OPERATIVA LA PLANTA,Sede Operativa La Planta
SEDE PLANTA VIEJA CIUDAD BOLÍVAR,Sede Planta Vieja Ciudad Bolívar
SEDE S/E CARDENERA,Sede S. E. Cardenera
SEDE TALLER MECANICO SIMON RODRÍGUEZ ANZOATEGUI,Sede Taller Mecanico Simon Rodríguez Anzoategui
SEDE TRANSMISION,Sede Transmision
SERLINE,Serline
SERLINE / MONTEZUMA,Serline / Montezuma
SERVICIO GENERALES,Servicio Generales
"SERVICIO INTEGRALES RE, C.A.","Servicio Integrales Re, C.A."
SERVICIOS DE TRANSPORTE,Servicios De Transporte
SERVICIOS GENERALES,Servicios Generales
SERVICIOS INTEGRALES (BARQUISIMETO),Servicios Integrales (Barquisimeto)
SERVS DE TRANSPORTE,Servs De Transporte
SERVS. DE TRANSPORTE,Servs. De Transporte
SUB ESTACION MALENA,Sub Estacion Malena
SUB ESTACION SAN IGNACIO,Sub Estacion San Ignacio
SUB ESTACION TUCUPITA DELTA AMACURO,Sub Estacion Tucupita Delta Amacuro
SUB ESTACION VALERA I,Sub Estacion Valera I
SUB ESTACION VIGIA I,Sub Estacion Vigia I
SUB ESTACIONES,Sub Estaciones
SUB ESTACIÓN VIGIA I,Sub Estación Vigia I
SUB-ESTACION CHIVACOA,Sub-Estacion Chivacoa
SUB-ESTACION GUAYANA B,Sub-Estacion Guayana B
SUB-ESTACION MALENA/CAICARA,Sub-Estacion Malena/Caicara
SUB-ESTACION UNARE,Sub-Estacion Unare
"SUB-ESTACION YARACUY 765/400/230 ""LAS VELAS""","Sub-Estacion Yaracuy 765/400/230 ""Las Velas"""
SUB-ESTACIÒN MALENA,Sub-Estaciòn Malena
"SUB. EST, EL TIGRE","Sub. Est, El Tigre"
SUBESTACION EL FURRIAL,Subestacion El Furrial
SUBESTACION EL INDIO,Subestacion El Indio
SUBESTACION FARALLONES,Subestacion Farallones
SUBESTACION LA ARENOSA,Subestacion La Arenosa
SUBESTACION MALENA,Subestacion Malena
SUBESTACION PALITAL,Subestacion Palital
SUBESTACION PUEBLO NUEVO,Subestacion Pueblo Nuevo
SUBESTACION URUMACO,Subestacion Urumaco
SUBESTACION YARACUY,Subestacion Yaracuy
SUBESTACIÓN PATIO 400 MACAGUA,Subestación Patio 400 Macagua
SUBESTACIÓN SANTA ELENA,Subestación Santa Elena
SUCRE,Sucre
SUR AMERICA C.A,Sur America C.A
Santa rosa,Santa Rosa
Sede,Sede
Servicios generales,Servicios Generales
T. CUMANA,T. Cumana
T.S.CUMANA,T.S.Cumana
T0VAR CARRERA 3 C0N AV. CRIST0BAL,T0Var Carrera 3 C0N Av. Crist0Bal
TABLAZO,Tablazo
TACHIRA,Tachira
TACHIRA -TRUJILLO-VALERA,Tachira -Trujillo-Valera
TACOA,Tacoa
TALER ELECTRA,Taler Electra
TALLER,Taller
TALLER   K&JD,Taller   K&Jd
"TALLER  DISTRIBUIDORA  FAGC, UBICADO VALENCIA EDO CARABOBO","Taller  Distribuidora  Fagc, Ubicado Valencia Edo Carabobo"
"TALLER  MARACAY , AVENIDAD CUATICENTENARIA BARINAS","Taller  Maracay , Avenidad Cuaticentenaria Barinas"
"TALLER  RICARDO GAINZA, UBICADO  BARRIO MIJAGUA, CALLE 1 SECTOR SANTA ROSA CON AV. FLORES","Taller  Ricardo Gainza, Ubicado  Barrio Mijagua, Calle 1 Sector Santa Rosa Con Av. Flores"
"TALLER  RICHAR MENDEZ, UBICADO  BARINAS SECTOR PACHECO MALDONADO AV PRINCIPAL","Taller  Richar Mendez, Ubicado  Barinas Sector Pacheco Maldonado Av Principal"
TALLER  SERVI - HOGAR BARINAS,Taller  Servi - Hogar Barinas
TALLER ALFAMAT,Taller Alfamat
TALLER ANIBAL MOTOR,Taller Anibal Motor
TALLER ASOCIACIÓN COOPERATIVA TRANS-SERVICIOS DAS AL LADO DE URB. VILLA OLÍMPICA ESTADO YARACUY.,Taller Asociación Cooperativa Trans-Servicios Das Al Lado De Urb. Villa Olímpica Estado Yaracuy.
TALLER AUTO ACCESORIO DR,Taller Auto Accesorio Dr
TALLER BELLO MONTE,Taller Bello Monte
TALLER BUENA VISTA,Taller Buena Vista
TALLER CENTRAL BARQUISIMETO,Taller Central Barquisimeto
TALLER CHARALLAVE,Taller Charallave
TALLER CONVENTO,Taller Convento
TALLER CORPORACION C/S CHACAO (CCS),Taller C/S Chacao (Ccs)
TALLER DE CORPORACION,Taller De La Corporacion
TALLER DE LA GOBERNACION DEL ESTADO APURE,Taller De La Gobernacion Del Estado Apure
"TALLER DE LOS MALABARES - ARAURE, RESPONSABLE ING JAIRO CASTILLO",Taller De Los Malabares - Araure
TALLER DH,Taller Dh
"TALLER DISTRIBUIDORA  FAGC , VALENCIA EDO CARABOBO","Taller Distribuidora  Fagc , Valencia Edo Carabobo"
TALLER DISTRIBUIDORA FAGC,Taller Distribuidora Fagc
TALLER DISTRIBUIDORA FAGC (VALENCIA),Taller Distribuidora Fagc (Valencia)
TALLER DISTRIBUIDORA HL,Taller Distribuidora Hl
TALLER ELECTRA,Taller Electra
"TALLER ELECTRA REPRESENTACIONES Y CONSTRUCCIONES, C. A","Taller Electra Representaciones Y Construcciones, C. A"
TALLER EXTERNO,Taller Externo
"TALLER EXTERNO COMERCIALIZADORA 4227, C.A. J- 299926230. BARQUISIMETO ESTADO LARA.","Taller Externo Comercializadora 4227, C.A. J- 299926230. Barquisimeto Estado Lara."
TALLER EXTERNO COQUIVACOA,Taller Externo Coquivacoa
TALLER EXTERNO DE COMERCIALIZACIÓN,Taller Externo De Comercialización
TALLER EXTERNO DISTRIBUIDORA FAGC (VALENCIA),Taller Externo Distribuidora Fagc (Valencia)
TALLER EXTERNO DISTRIBUIDORA HL,Taller Externo Distribuidora Hl
TALLER EXTERNO DISTRIBUIDORA HL.,Taller Externo Distribuidora Hl.
"TALLER EXTERNO ESP COOPTRATUCOL, R. S","Taller Externo Esp Cooptratucol, R. S"
"TALLER EXTERNO HIDRAULIC TEAM, C. A","Taller Externo Hidraulic Team, C. A"
TALLER EXTERNO HL,Taller Externo Hl
TALLER EXTERNO JIM TIRE,Taller Externo Jim Tire
TALLER EXTERNO MULTI SERVICIOS DAHERBA 76 C.A,Taller Externo Multi Servicios Daherba 76 C.A
TALLER EXTERNO MULTISERVICIOS DAHERBA76 C.A,Taller Externo Multiservicios Daherba76 C.A
TALLER EXTERNO MULTISERVICIOS PALO NEGRO,Taller Externo Multiservicios Palo Negro
TALLER EXTERNO MULTIU SERVICIOS DAHERBA 76 C.A,Taller Externo Multiu Servicios Daherba 76 C.A
TALLER EXTERNO OLYMPUS,Taller Externo Olympus
TALLER EXTERNO SERVICIOS INTEGRALES RE J-299926230. BARQUISIMETO ESTADO LARA.,Taller Externo Servicios Integrales Re J-299926230. Barquisimeto Estado Lara.
