alias,canonico
DIVISION USO RACIONAL Y EFICIENTE DE LA ENERGIA,DIVISION USO RACIONAL Y EFICIENTE DE LA ENERGIA
DIVISION Y DESARROLLO,DIVISION Y DESARROLLO
DIVISIÓN DE DISTRIBUCIÓN BOLIVAR,DIVISIÓN DE DISTRIBUCIÓN BOLIVAR
DIVISIÓN DE PROYECTOS DE GENERACIÓN,DIVISIÓN DE PROYECTOS DE GENERACIÓN
DPT0 DE MATT0 DE 0PERACI0NES,DPT0 DE MATT0 DE 0PERACI0NES
DPT0 DE MATT0 DE TRANSMISI0N,DPT0 DE MATT0 DE TRANSMISI0N
DPTO ATC AVER CS TB SAN ANTONIO,DPTO ATC AVER CS TB SAN ANTONIO
DPTO ATC AVER RCLAM,DPTO ATC AVER RCLAM
DPTO DE MATTO DE OPERACIONES,DPTO DE MATTO DE OPERACIONES
DPTO DE MATTO DE TRANSMISION,DPTO DE MATTO DE TRANSMISION
DPTO DE MATTO EN S/E SUR,DPTO DE MATTO EN S/E SUR
DPTO MTTO CS TB SAN ANTONIO,DPTO MTTO CS TB SAN ANTONIO
DPTO MTTO DE LINEAS TACHIRA ALTO APURE,DPTO MTTO DE LINEAS TACHIRA ALTO APURE
DPTO MTTO DE PROTEC Y REGIST LOS ANDES,DPTO MTTO DE PROTEC Y REGIST LOS ANDES
DPTO MTTO DE SUBEST TACHIRA ALTO APURE,DPTO MTTO DE SUBEST TACHIRA ALTO APURE
DPTO. DE OPERACIONES,DPTO. DE OPERACIONES
DPTO. REG. GESTION AMBIENTAL DE CUENCAS,DPTO. REG. GESTION AMBIENTAL DE CUENCAS
DTTO. CUMANA,DTTO. CUMANA
DTTO. MERIDA,DTTO. MERIDA
Desarrollo Social Aragua,Desarrollo Social Aragua
EDC NETWORK,EDC NETWORK
"EDC NETWORK COMUNICACIONES, S.C.S","EDC NETWORK COMUNICACIONES, S.C.S"
EDC NETWORK MOVILIZO EL VEHICULO A CARACAS PARA REPARACIONES,EDC NETWORK MOVILIZO EL VEHICULO A CARACAS PARA REPARACIONES
EDC NETWORK VEHICULO DE EDC CON PLACA MPPEE,EDC NETWORK VEHICULO DE EDC CON PLACA MPPEE
EDIFICIO SEDE CUMANA,EDIFICIO SEDE CUMANA
EJECUCION,EJECUCION
ELECTRICO,ELECTRICO
ESTUDIOS Y PRUEBAS,ESTUDIOS Y PRUEBAS
EVALUACIONES PUBLICAS,EVALUACIONES PUBLICAS
FACTIBILIDADES,FACTIBILIDADES
FACTURACIÓN,FACTURACIÓN
FASME,FASME
FASMEE,FASMEE
FASMEE (PLANTA CENTRO),FASMEE (PLANTA CENTRO)
FASMEEE,FASMEEE
FASSME,FASSME
FAURE,FAURE
FAUREE,FAUREE
FAUREE (PUERTO CABELLO),FAUREE (PUERTO CABELLO)
FINANZAS,FINANZAS
FISCALES DEL MEEPP YARACUY,FISCALES DEL MEEPP YARACUY
FISCALIZACION,FISCALIZACION
FISCALIZACION MPPEE,FISCALIZACION MPPEE
FLOTA,FLOTA
FLOTA CAPITAL,FLOTA CAPITAL
FLOTA NACIONAL,FLOTA NACIONAL
FONDO AUTO ADMINISTRADO DE SALUD (FASMEE) APURE,FONDO AUTO ADMINISTRADO DE SALUD (FASMEE) APURE
FONDO AUTO ADMINISTRADO DE SALUD FASME,FONDO AUTO ADMINISTRADO DE SALUD FASME
FONDO AUTO ADMINISTRADO DE SALUD FASMEE,FONDO AUTO ADMINISTRADO DE SALUD FASMEE
FONDO AUTO ADMINISTRADO DE SALUD FASMEE ESTADAL BOLIVAR,FONDO AUTO ADMINISTRADO DE SALUD FASMEE ESTADAL BOLIVAR
FONDO AUTO ADMINISTRATIVO DE SALUD FASMEE,FONDO AUTO ADMINISTRATIVO DE SALUD FASMEE
FONDO AUTO ADMINISTRATIVO DE SALUD FASMEE ESTADAL BOLIVAR,FONDO AUTO ADMINISTRATIVO DE SALUD FASMEE ESTADAL BOLIVAR
FORMACION,FORMACION
FUENTAS ALTERNATIVAS,FUENTAS ALTERNATIVAS
FUENTES ALTERNAR Y USO RACIONAL DE LA ENERGIA,FUENTES ALTERNAR Y USO RACIONAL DE LA ENERGIA
FUENTES ALTERNAS Y USO RACIONAL DE LA ENERGIA,FUENTES ALTERNAS Y USO RACIONAL DE LA ENERGIA
FUENTES ALTERNAS Y USO RACIONAL DE LA ENERGIA SUCRE,FUENTES ALTERNAS Y USO RACIONAL DE LA ENERGIA SUCRE
FUENTES ALTERNAS Y USO RACIONAL Y EFICIENTE DE LA ENERGIA,FUENTES ALTERNAS Y USO RACIONAL Y EFICIENTE DE LA ENERGIA
FUENTES AlTERNAS Y USO RACIONAL Y EFICIENTE DE LA ENERGIA,FUENTES AlTERNAS Y USO RACIONAL Y EFICIENTE DE LA ENERGIA
FUNDACION DEL SERVICIO DE ALIMENTACION DEL SECTOR ELECTRICO NACIONAL,FUNDACION DEL SERVICIO DE ALIMENTACION DEL SECTOR ELECTRICO NACIONAL
FUNDELEC,FUNDELEC
FUNSASEN,FUNSASEN
Flota,Flota
Fundelec,Fundelec
G.C. CUMANA,G.C. CUMANA
G.D. CUMANA,G.D. CUMANA
G.P. CUMANA,G.P. CUMANA
G.R.H. CUMANA,G.R.H. CUMANA
G/G PLANIFICACION,G/G PLANIFICACION
GCIA. ESTADAL,GCIA. ESTADAL
GCIA. PROCURA REG LOS ANDES,GCIA. PROCURA REG LOS ANDES
GENECIA ESTADAL DE BIENES Y SERVICIOS,GENECIA ESTADAL DE BIENES Y SERVICIOS
GENERACI0N,GENERACI0N
GENERACION,GENERACION
GENERACION DE PROYECTO,GENERACION DE PROYECTO
GENERACION DISTRIBUIDA,GENERACION DISTRIBUIDA
GENERACION ESTADAL HIDROELECTRICA,GENERACION ESTADAL HIDROELECTRICA
GENERACION ESTADAL TERMOELECTRICA,GENERACION ESTADAL TERMOELECTRICA
GENERACION HIDROELECTRICA,GENERACION HIDROELECTRICA
GENERACION ISLA DE COCHE,GENERACION ISLA DE COCHE
GENERACION JUAN BAUTISTA ARISMEDI,GENERACION JUAN BAUTISTA ARISMEDI
GENERACION LUISA CACERES,GENERACION LUISA CACERES
GENERACION PLCA,GENERACION PLCA
GENERACION TERMOELECTRICA,GENERACION TERMOELECTRICA
GENERACIÓN,GENERACIÓN
GENERACIÓN DISTRIBUIDA,GENERACIÓN DISTRIBUIDA
GERECIA ESTADAL DE PROYECTOS ESPECIALES DEL SE EN COMISION EN EL EDO ZULIA PROYECTOS COMUNALES,GERECIA ESTADAL DE PROYECTOS ESPECIALES DEL SE EN COMISION EN EL EDO ZULIA PROYECTOS COMUNALES
GERECIA ESTADAL DE PROYECTOS ESPECIALES DEL SEN,GERECIA ESTADAL DE PROYECTOS ESPECIALES DEL SEN
GERENCIA,GERENCIA
GERENCIA  DE BIENES Y SERVICIOS REGIÓN CAPITAL,GERENCIA  DE BIENES Y SERVICIOS REGIÓN CAPITAL
GERENCIA .ESTADAL CONTROL DE EMERGENCIAS INDUSTRIAL,GERENCIA .ESTADAL CONTROL DE EMERGENCIAS INDUSTRIAL
GERENCIA BIENES Y SERVICIOS BOLIVAR,GERENCIA BIENES Y SERVICIOS BOLIVAR
GERENCIA BYS,GERENCIA BYS
GERENCIA CENTRO DE DESPACHO ARAGUA,GERENCIA CENTRO DE DESPACHO ARAGUA
GERENCIA CENTROL NACIONAL DE DESPACHO,GERENCIA CENTROL NACIONAL DE DESPACHO
GERENCIA COMERCIALIZACION AMAZONAS,GERENCIA COMERCIALIZACION AMAZONAS
GERENCIA CONTROL DE EMERGENCIA INDUSTRIAL,GERENCIA CONTROL DE EMERGENCIA INDUSTRIAL
GERENCIA CONTROL DE EMERGENCIAS INDUSTRIALES,GERENCIA CONTROL DE EMERGENCIAS INDUSTRIALES
GERENCIA DE ATIT,GERENCIA DE ATIT
GERENCIA DE BIENES Y SERVICIOS,GERENCIA DE BIENES Y SERVICIOS
GERENCIA DE BIENES Y SERVICIOS AMAZONAS,GERENCIA DE BIENES Y SERVICIOS AMAZONAS
GERENCIA DE BIENES Y SERVICIOS BOLIVAR,GERENCIA DE BIENES Y SERVICIOS BOLIVAR
GERENCIA DE COMERCIAL,GERENCIA DE COMERCIAL
GERENCIA DE COMERCIALIZACION,GERENCIA DE COMERCIALIZACION
GERENCIA DE COMERCIALIZACION APURE,GERENCIA DE COMERCIALIZACION APURE
GERENCIA DE CONTROL DE VEGESTACION,GERENCIA DE CONTROL DE VEGESTACION
GERENCIA DE DISTRIBUCION,GERENCIA DE DISTRIBUCION
GERENCIA DE DISTRIBUCION APURE,GERENCIA DE DISTRIBUCION APURE
GERENCIA DE FAAUREE DELTA AMACURO,GERENCIA DE FAAUREE DELTA AMACURO
GERENCIA DE FISCALIZACION APURE,GERENCIA DE FISCALIZACION APURE
GERENCIA DE FISCALIZACION ESTADAL MPPEE,GERENCIA DE FISCALIZACION ESTADAL MPPEE
GERENCIA DE FUENTES ALTERNAS Y USO RACIONAL Y EFICIENTE DE LA ENERGIA,GERENCIA DE FUENTES ALTERNAS Y USO RACIONAL Y EFICIENTE DE LA ENERGIA
GERENCIA DE GENERACIION TERMOELECTRICA,GERENCIA DE GENERACIION TERMOELECTRICA
GERENCIA DE GENERACION APURE,GERENCIA DE GENERACION APURE
GERENCIA DE PREVENCION Y PROTECCION ( PYP) APURE,GERENCIA DE PREVENCION Y PROTECCION ( PYP) APURE
GERENCIA DE SERVICIOS DE TRASPORTE,GERENCIA DE SERVICIOS DE TRASPORTE
GERENCIA DE TALENTO HUMANO,GERENCIA DE TALENTO HUMANO
GERENCIA DE TRANSMISION,GERENCIA DE TRANSMISION
GERENCIA DE TRANSMISION APURE,GERENCIA DE TRANSMISION APURE
GERENCIA DE TRANSMISIÓN,GERENCIA DE TRANSMISIÓN
GERENCIA DE TRANSMISON,GERENCIA DE TRANSMISON
GERENCIA DESARROLLO,GERENCIA DESARROLLO
GERENCIA ESTADAL,GERENCIA ESTADAL
"GERENCIA ESTADAL AMBIENTE, SEGURIDAD E HIGIENE OCUPACIONAL (ASHO)","GERENCIA ESTADAL AMBIENTE, SEGURIDAD E HIGIENE OCUPACIONAL (ASHO)"
"GERENCIA ESTADAL AMBIENTE, SEGURIDAD INDUSTRIAL Y CONTROL DE RIESGO","GERENCIA ESTADAL AMBIENTE, SEGURIDAD INDUSTRIAL Y CONTROL DE RIESGO"
GERENCIA ESTADAL ASHO AMAZONAS,GERENCIA ESTADAL ASHO AMAZONAS
GERENCIA ESTADAL ASHO TACHIRA,GERENCIA ESTADAL ASHO TACHIRA
GERENCIA ESTADAL AUTOMATIZACION DE LA INFORMACION Y TECNOLOGIA,GERENCIA ESTADAL AUTOMATIZACION DE LA INFORMACION Y TECNOLOGIA
GERENCIA ESTADAL BIENES Y SERVICIOS,GERENCIA ESTADAL BIENES Y SERVICIOS
GERENCIA ESTADAL BIENES Y SERVICIOS APURE,GERENCIA ESTADAL BIENES Y SERVICIOS APURE
GERENCIA ESTADAL BIENES Y SERVICIOS BOLIVAR,GERENCIA ESTADAL BIENES Y SERVICIOS BOLIVAR
GERENCIA ESTADAL BIENES Y SERVICIOS BOLIVAR (E),GERENCIA ESTADAL BIENES Y SERVICIOS BOLIVAR (E)
GERENCIA ESTADAL BIENES Y SERVICIOS TRUJILLO,GERENCIA ESTADAL BIENES Y SERVICIOS TRUJILLO
GERENCIA ESTADAL CENTRO NACIONAL DE DESPACHO,GERENCIA ESTADAL CENTRO NACIONAL DE DESPACHO
GERENCIA ESTADAL COMERCIALIZACION,GERENCIA ESTADAL COMERCIALIZACION
GERENCIA ESTADAL CONTROL DE EMERGENCIA INDUSTRIALES,GERENCIA ESTADAL CONTROL DE EMERGENCIA INDUSTRIALES
GERENCIA ESTADAL CONTROL DE EMERGENCIAS INDUSTRIAL,GERENCIA ESTADAL CONTROL DE EMERGENCIAS INDUSTRIAL
GERENCIA ESTADAL CONTROL DE EMERGENCIAS INDUSTRIALES,GERENCIA ESTADAL CONTROL DE EMERGENCIAS INDUSTRIALES
GERENCIA ESTADAL CONTROL DE EMERGENCIAS INDUSTRIALES.,GERENCIA ESTADAL CONTROL DE EMERGENCIAS INDUSTRIALES.
GERENCIA ESTADAL CONTROL Y PROGRAMACION DE MALEZA,GERENCIA ESTADAL CONTROL Y PROGRAMACION DE MALEZA
"GERENCIA ESTADAL DE AMBIENTE, SEGURIDAD E HIEGENE OCUPACIONAL","GERENCIA ESTADAL DE AMBIENTE, SEGURIDAD E HIEGENE OCUPACIONAL"
"GERENCIA ESTADAL DE AMBIENTE, SEGURIDAD E HIGIENE OCUPACIONAL","GERENCIA ESTADAL DE AMBIENTE, SEGURIDAD E HIGIENE OCUPACIONAL"
"GERENCIA ESTADAL DE AMBIENTE,SEGURIDAD E HIGIENE OCUPACIONAL","GERENCIA ESTADAL DE AMBIENTE,SEGURIDAD E HIGIENE OCUPACIONAL"
GERENCIA ESTADAL DE ATENCION AL CIUDADANO,GERENCIA ESTADAL DE ATENCION AL CIUDADANO
GERENCIA ESTADAL DE ATENCION AL CUIDADAN,GERENCIA ESTADAL DE ATENCION AL CUIDADAN
GERENCIA ESTADAL DE AUDITORIA INTERNA,GERENCIA ESTADAL DE AUDITORIA INTERNA
GERENCIA ESTADAL DE AUTOMATIZACION DE LA INFORMACION Y TECNOLOGIA,GERENCIA ESTADAL DE AUTOMATIZACION DE LA INFORMACION Y TECNOLOGIA
GERENCIA ESTADAL DE AUTOMATIZACION DE LA INFORMACION Y TECNOLOGIA (ATIT),GERENCIA ESTADAL DE AUTOMATIZACION DE LA INFORMACION Y TECNOLOGIA (ATIT)
GERENCIA ESTADAL DE AUTOMATIZACION DE LA INFORMECION Y TECNOLOGIA,GERENCIA ESTADAL DE AUTOMATIZACION DE LA INFORMECION Y TECNOLOGIA
GERENCIA ESTADAL DE BIENES Y SERVICIOS,GERENCIA ESTADAL DE BIENES Y SERVICIOS
GERENCIA ESTADAL DE BIENES Y SERVICIOS ( CIAU VIGIA),GERENCIA ESTADAL DE BIENES Y SERVICIOS ( CIAU VIGIA)
GERENCIA ESTADAL DE BIENES Y SERVICIOS (ASIGNADO EN CALIDAD DE PRESTAMO A LA GERENCIA DE GENERACION (PLANTA DON LUIS ZAMBRANO),GERENCIA ESTADAL DE BIENES Y SERVICIOS (ASIGNADO EN CALIDAD DE PRESTAMO A LA GERENCIA DE GENERACION (PLANTA DON LUIS ZAMBRANO)
GERENCIA ESTADAL DE BIENES Y SERVICIOS (CIAU TOVAR),GERENCIA ESTADAL DE BIENES Y SERVICIOS (CIAU TOVAR)
GERENCIA ESTADAL DE BIENES Y SERVICIOS (DTTO. VIGIA.),GERENCIA ESTADAL DE BIENES Y SERVICIOS (DTTO. VIGIA.)
GERENCIA ESTADAL DE BIENES Y SERVICIOS - INFRAESTRUCTURA,GERENCIA ESTADAL DE BIENES Y SERVICIOS - INFRAESTRUCTURA
GERENCIA ESTADAL DE BIENES Y SERVICIOS - TRANSPORTE,GERENCIA ESTADAL DE BIENES Y SERVICIOS - TRANSPORTE
GERENCIA ESTADAL DE BIENES Y SERVICIOS BOLIVAR,GERENCIA ESTADAL DE BIENES Y SERVICIOS BOLIVAR
GERENCIA ESTADAL DE BIENES Y SERVICIOS BOLIVAR (E),GERENCIA ESTADAL DE BIENES Y SERVICIOS BOLIVAR (E)
GERENCIA ESTADAL DE BIENES Y SERVICIOS PORTUGUESA,GERENCIA ESTADAL DE BIENES Y SERVICIOS PORTUGUESA
GERENCIA ESTADAL DE BIENES Y SERVICIOS SUCRE,GERENCIA ESTADAL DE BIENES Y SERVICIOS SUCRE
GERENCIA ESTADAL DE BIENES Y SERVICOS,GERENCIA ESTADAL DE BIENES Y SERVICOS
GERENCIA ESTADAL DE CENTRO NACIONAL DE DESPACHO,GERENCIA ESTADAL DE CENTRO NACIONAL DE DESPACHO
GERENCIA ESTADAL DE COMERCIALIZACION,GERENCIA ESTADAL DE COMERCIALIZACION
GERENCIA ESTADAL DE COMERCIALIZACION BOLIVAR,GERENCIA ESTADAL DE COMERCIALIZACION BOLIVAR
GERENCIA ESTADAL DE COMERCIALIZACION COMERCIAL,GERENCIA ESTADAL DE COMERCIALIZACION COMERCIAL
GERENCIA ESTADAL DE COMERCIALIZACIÓN,GERENCIA ESTADAL DE COMERCIALIZACIÓN
GERENCIA ESTADAL DE COMUNICACIONES Y RELACIONES PUBLICAS,GERENCIA ESTADAL DE COMUNICACIONES Y RELACIONES PUBLICAS
GERENCIA ESTADAL DE CONTROL DE EMERGENCIAS BOLIVAR,GERENCIA ESTADAL DE CONTROL DE EMERGENCIAS BOLIVAR
GERENCIA ESTADAL DE CONTROL DE EMERGENCIAS INDUSTRIALES,GERENCIA ESTADAL DE CONTROL DE EMERGENCIAS INDUSTRIALES
GERENCIA ESTADAL DE DESARROLLO SOCIAL,GERENCIA ESTADAL DE DESARROLLO SOCIAL
GERENCIA ESTADAL DE DISTRIBUCION,GERENCIA ESTADAL DE DISTRIBUCION
GERENCIA ESTADAL DE FASMEE,GERENCIA ESTADAL DE FASMEE
GERENCIA ESTADAL DE FINANZAS,GERENCIA ESTADAL DE FINANZAS
GERENCIA ESTADAL DE FISCALIZACION,GERENCIA ESTADAL DE FISCALIZACION
GERENCIA ESTADAL DE FUENTES ALTERNAS Y USO RACIONAL DE LA ENERGIA,GERENCIA ESTADAL DE FUENTES ALTERNAS Y USO RACIONAL DE LA ENERGIA
GERENCIA ESTADAL DE FUENTES ALTERNAS Y USO RACIONAL EFICIENTE DE LA ENERGIA,GERENCIA ESTADAL DE FUENTES ALTERNAS Y USO RACIONAL EFICIENTE DE LA ENERGIA
GERENCIA ESTADAL DE FUENTES ALTERNAS Y USO RACIONAL Y EFECIENTE DE ENERGIA,GERENCIA ESTADAL DE FUENTES ALTERNAS Y USO RACIONAL Y EFECIENTE DE ENERGIA
GERENCIA ESTADAL DE FUENTES ALTERNAS Y USO RACIONAL Y EFICIENTE DE LA ENERGIA,GERENCIA ESTADAL DE FUENTES ALTERNAS Y USO RACIONAL Y EFICIENTE DE LA ENERGIA
GERENCIA ESTADAL DE FUENTES ALTERNASY USO RACIONAL Y EFEICIENTEDE LA ENERGIA,GERENCIA ESTADAL DE FUENTES ALTERNASY USO RACIONAL Y EFEICIENTEDE LA ENERGIA
GERENCIA ESTADAL DE GENERACION,GERENCIA ESTADAL DE GENERACION
"GERENCIA ESTADAL DE PLANIFICACION ,PRESUPUESTO,SEGUIMIENTO Y CONTROL","GERENCIA ESTADAL DE PLANIFICACION ,PRESUPUESTO,SEGUIMIENTO Y CONTROL"
GERENCIA ESTADAL DE PLANIFICACION Y DISTRIBUCION,GERENCIA ESTADAL DE PLANIFICACION Y DISTRIBUCION
GERENCIA ESTADAL DE PREVENCION Y PROTECCION,GERENCIA ESTADAL DE PREVENCION Y PROTECCION
GERENCIA ESTADAL DE PREVENCION Y PROTECCION DELTA AMACURO,GERENCIA ESTADAL DE PREVENCION Y PROTECCION DELTA AMACURO
GERENCIA ESTADAL DE PREVENCIÓN Y PROTECCIÓN,GERENCIA ESTADAL DE PREVENCIÓN Y PROTECCIÓN
GERENCIA ESTADAL DE PROCURA,GERENCIA ESTADAL DE PROCURA
GERENCIA ESTADAL DE PROGRAMACION Y CONTROL DE VEGETACION,GERENCIA ESTADAL DE PROGRAMACION Y CONTROL DE VEGETACION
GERENCIA ESTADAL DE PROGRAMACION Y CONTROL DE VEGETACION.,GERENCIA ESTADAL DE PROGRAMACION Y CONTROL DE VEGETACION.
GERENCIA ESTADAL DE PROGRAMACION Y CONTROL LA VEGETACION,GERENCIA ESTADAL DE PROGRAMACION Y CONTROL LA VEGETACION
GERENCIA ESTADAL DE SERVICIOS AERONAUTICOS,GERENCIA ESTADAL DE SERVICIOS AERONAUTICOS
GERENCIA ESTADAL DE TALENTO HUMANO,GERENCIA ESTADAL DE TALENTO HUMANO
GERENCIA ESTADAL DE TRANSMISION,GERENCIA ESTADAL DE TRANSMISION
GERENCIA ESTADAL DESARROLLO SOCIAL,GERENCIA ESTADAL DESARROLLO SOCIAL
GERENCIA ESTADAL GENERACION HIDROELECTRICA,GERENCIA ESTADAL GENERACION HIDROELECTRICA
GERENCIA ESTADAL PREVENCION Y PROTECCION,GERENCIA ESTADAL PREVENCION Y PROTECCION
GERENCIA ESTADAL PROGRAMACION Y CONTROL DE LA VEGETACION,GERENCIA ESTADAL PROGRAMACION Y CONTROL DE LA VEGETACION
GERENCIA ESTADAL PROGRAMACION Y CONTROL DE VEGETACION,GERENCIA ESTADAL PROGRAMACION Y CONTROL DE VEGETACION
GERENCIA ESTADAL PROYECTO MAYORES,GERENCIA ESTADAL PROYECTO MAYORES
GERENCIA ESTADAL PROYECTOS ESPECIALES DEL SEN,GERENCIA ESTADAL PROYECTOS ESPECIALES DEL SEN
GERENCIA ESTADAL TERRITORIAL,GERENCIA ESTADAL TERRITORIAL
GERENCIA ESTADAL TERRITORIAL BOLIVAR,GERENCIA ESTADAL TERRITORIAL BOLIVAR
GERENCIA ESTADAL TRANSMISION,GERENCIA ESTADAL TRANSMISION
GERENCIA ESTADALDE GENERACION,GERENCIA ESTADALDE GENERACION
GERENCIA ESTADALDE PROGRAMACION Y CONTROL LA VEGETACION,GERENCIA ESTADALDE PROGRAMACION Y CONTROL LA VEGETACION
GERENCIA ESTADL DE FISCALIZACION,GERENCIA ESTADL DE FISCALIZACION
GERENCIA GENERACION TERMOELECTRICA,GERENCIA GENERACION TERMOELECTRICA
GERENCIA GENERAL,GERENCIA GENERAL
GERENCIA GENERAL ATIT AMAZONAS,GERENCIA GENERAL ATIT AMAZONAS
"GERENCIA GENERAL DE AMBIENTE, SEGURIDAD E HIGIENE OCUPACIONAL","GERENCIA GENERAL DE AMBIENTE, SEGURIDAD E HIGIENE OCUPACIONAL"
"GERENCIA GENERAL DE AMBIENTE, SEGURIDAD E HIGIENE OCUPACIONAL (ASHO)","GERENCIA GENERAL DE AMBIENTE, SEGURIDAD E HIGIENE OCUPACIONAL (ASHO)"
GERENCIA GENERAL DE ATENCION AL CUIDADANO,GERENCIA GENERAL DE ATENCION AL CUIDADANO
GERENCIA GENERAL DE AUDITORIA INTERNA,GERENCIA GENERAL DE AUDITORIA INTERNA
GERENCIA GENERAL DE AUDITORÍA INTERNA,GERENCIA GENERAL DE AUDITORÍA INTERNA
GERENCIA GENERAL DE AUT0MATIZACI0N DE LA INF0RMACI0N Y TECN0L0GIA,GERENCIA GENERAL DE AUT0MATIZACI0N DE LA INF0RMACI0N Y TECN0L0GIA
GERENCIA GENERAL DE AUTOMATIZACION DE LA INFORMACION Y TECNOLOGIA,GERENCIA GENERAL DE AUTOMATIZACION DE LA INFORMACION Y TECNOLOGIA
GERENCIA GENERAL DE BIENES Y SERVICIOS,GERENCIA GENERAL DE BIENES Y SERVICIOS
GERENCIA GENERAL DE C0MERCIALIZACI0N,GERENCIA GENERAL DE C0MERCIALIZACI0N
GERENCIA GENERAL DE CENTRO NACIONAL DE DESPACHO,GERENCIA GENERAL DE CENTRO NACIONAL DE DESPACHO
GERENCIA GENERAL DE COMERCIALIZACION,GERENCIA GENERAL DE COMERCIALIZACION
GERENCIA GENERAL DE COMERCIALIZACIÓN,GERENCIA GENERAL DE COMERCIALIZACIÓN
GERENCIA GENERAL DE COMUNICACIONES Y RELACIONES PUBLICAS,GERENCIA GENERAL DE COMUNICACIONES Y RELACIONES PUBLICAS
GERENCIA GENERAL DE CONSULTORIA JURIDICA,GERENCIA GENERAL DE CONSULTORIA JURIDICA
GERENCIA GENERAL DE CONTROL DE EMERGENCIA,GERENCIA GENERAL DE CONTROL DE EMERGENCIA
GERENCIA GENERAL DE CONTROL DE EMERGENCIA INDUSTRIALES BCEI,GERENCIA GENERAL DE CONTROL DE EMERGENCIA INDUSTRIALES BCEI
GERENCIA GENERAL DE CONTROL DE EMERGENCIAS INDUSTRIALES,GERENCIA GENERAL DE CONTROL DE EMERGENCIAS INDUSTRIALES
GERENCIA GENERAL DE DESARROLL SOCIAL AMAZONAS,GERENCIA GENERAL DE DESARROLL SOCIAL AMAZONAS
GERENCIA GENERAL DE DESARROLLO SOCIAL,GERENCIA GENERAL DE DESARROLLO SOCIAL
GERENCIA GENERAL DE DISTRIBUCION,GERENCIA GENERAL DE DISTRIBUCION
GERENCIA GENERAL DE DISTRIBUCIÓN,GERENCIA GENERAL DE DISTRIBUCIÓN
GERENCIA GENERAL DE FINANZAS,GERENCIA GENERAL DE FINANZAS
GERENCIA GENERAL DE FORMACION,GERENCIA GENERAL DE FORMACION
GERENCIA GENERAL DE FUENTES ALERNATIVAS Y USO RACIONAL Y EFICIENTE DE LA ENERGIA,GERENCIA GENERAL DE FUENTES ALERNATIVAS Y USO RACIONAL Y EFICIENTE DE LA ENERGIA
GERENCIA GENERAL DE FUENTES ALTERNAS Y USO RACIONAL Y EFICIENTE DE LA ENERGIA,GERENCIA GENERAL DE FUENTES ALTERNAS Y USO RACIONAL Y EFICIENTE DE LA ENERGIA
GERENCIA GENERAL DE FUENTES ALTERNAS Y USO RACIONAL Y EFICIENTE DE LA ENERGIA (FAUREE),GERENCIA GENERAL DE FUENTES ALTERNAS Y USO RACIONAL Y EFICIENTE DE LA ENERGIA (FAUREE)
GERENCIA GENERAL DE GENERACION,GERENCIA GENERAL DE GENERACION
GERENCIA GENERAL DE GENERACION TERMOELECTRICA,GERENCIA GENERAL DE GENERACION TERMOELECTRICA
"GERENCIA GENERAL DE PLANIFICACION, PRESUPUESTO, SEGUIMIENTO Y CONTROL","GERENCIA GENERAL DE PLANIFICACION, PRESUPUESTO, SEGUIMIENTO Y CONTROL"
GERENCIA GENERAL DE PREVENCION Y PROTECCION,GERENCIA GENERAL DE PREVENCION Y PROTECCION
GERENCIA GENERAL DE PREYECTOS ESPECIALES DEL SEN,GERENCIA GENERAL DE PREYECTOS ESPECIALES DEL SEN
GERENCIA GENERAL DE PROCURA,GERENCIA GENERAL DE PROCURA
GERENCIA GENERAL DE PROGRAMACION Y CONTROL DE  VEGETACION,GERENCIA GENERAL DE PROGRAMACION Y CONTROL DE  VEGETACION
GERENCIA GENERAL DE PROGRAMACION Y CONTROL DE LA VEGETACION,GERENCIA GENERAL DE PROGRAMACION Y CONTROL DE LA VEGETACION
GERENCIA GENERAL DE PROGRAMACION Y CONTROL DE VEGETACION,GERENCIA GENERAL DE PROGRAMACION Y CONTROL DE VEGETACION
GERENCIA GENERAL DE SERVICIOS AEREONAUTICOS,GERENCIA GENERAL DE SERVICIOS AEREONAUTICOS
GERENCIA GENERAL DE SERVICIOS AERONAUTICOS,GERENCIA GENERAL DE SERVICIOS AERONAUTICOS
GERENCIA GENERAL DE TALENTO HUMANO,GERENCIA GENERAL DE TALENTO HUMANO
GERENCIA GENERAL DE TRANMISION,GERENCIA GENERAL DE TRANMISION
GERENCIA GENERAL DE TRANSFORMADORES DE DISTRIBUCION,GERENCIA GENERAL DE TRANSFORMADORES DE DISTRIBUCION
GERENCIA GENERAL DE TRANSFORMADORES DE LA COPORACION ELECTRICA NACIONAL,GERENCIA GENERAL DE TRANSFORMADORES DE LA COPORACION ELECTRICA NACIONAL
GERENCIA GENERAL DE TRANSFORMADORES Y REACTORES,GERENCIA GENERAL DE TRANSFORMADORES Y REACTORES
GERENCIA GENERAL DE TRANSMISION,GERENCIA GENERAL DE TRANSMISION
GERENCIA GENERAL DEL CENTRO NACIONAL DE DESPACHO,GERENCIA GENERAL DEL CENTRO NACIONAL DE DESPACHO
GERENCIA GENERAL DISTRIBUCION AMAZONAS,GERENCIA GENERAL DISTRIBUCION AMAZONAS
GERENCIA GENERAL DISTRIBUCIÓN,GERENCIA GENERAL DISTRIBUCIÓN
GERENCIA GENERAL FASMEE,GERENCIA GENERAL FASMEE
